#ID,Description,Platforms,Command1,Expecited1,Command2,Expected2,Command3,Expected3,Command4,Expected4
1,Verify product download and installation,all,install(smbclient \\\\10.10.60.5\\share -U administrator centeris||Release_builds\Sapphire\7931\LWISE\||/root/),Install complete
2,Doaminjoin,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou regression childa.parent2.likewiseqa.com administrator || centeris),SUCCESS
3,Verify registry key value for new policy,all,regshellstart(/opt/likewise/bin/regshell),not(No such file or directory)
4,Verify registry key value for new policy,all,cd HKEY_THIS_MACHINE,HKEY_THIS_MACHINE,ls,HKEY_THIS_MACHINE
4,Verify registry key value for new policy,all,cd Policy\Services\lsass\Parameters,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters,ls, EnableEventlog             REG_DWORD       0x00000001 (1) &  LogNetworkConnectionEvents REG_DWORD       0x00000001 (1)
6,Verify registry key value for new \Policy,all,cd  \Policy\Services\lsass\Parameters\PAM,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\PAM,ls,"LogLevel            REG_SZ          ""error"" &  UserNotAllowedError REG_SZ          ""Unable to logon user due to an allow logon rights restriction"""
7,Verify registry key value for new \Policy,all,cd  \Policy\Services\lsass\Parameters\Providers\Local,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\Local,ls,"CreateHomeDir      REG_DWORD       0x00000001 (1) & HomeDirPrefix      REG_SZ          ""/home"" &  HomeDirTemplate    REG_SZ          ""%H/local/%D/%U"""
8,Verify registry key value for new policy,all,cd  \Policy\Services\lsass\Parameters\Providers\Local,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\Local,ls,"  HomeDirUMask       REG_SZ          ""022"" & LoginShellTemplate REG_SZ          ""/bin/sh"" &   SkeletonDirs       REG_SZ          ""/etc/skel"""
9,Verify registry key value for new policy,all,cd  \Policy\Services\lsass\Parameters\Providers\ActiveDirectory,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\ActiveDirectory,ls,"AssumeDefaultDomain           REG_DWORD       0x00000001 (1) &   CacheEntryExpiry              REG_DWORD       0x00003840 (14400) & CellSupport                   REG_SZ          ""full"""
10,Verify registry key value for new policy,all,cd  \Policy\Services\lsass\Parameters\Providers\ActiveDirectory,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\ActiveDirectory,ls,"CreateHomeDir                 REG_DWORD       0x00000001 (1) & CreateK5Login                 REG_DWORD       0x00000001 (1) & HomeDirPrefix                 REG_SZ          ""/home/local"""
11,Verify registry key value for new policy,all,cd  \Policy\Services\lsass\Parameters\Providers\ActiveDirectory,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\ActiveDirectory,ls,"HomeDirPrefix                 REG_SZ          ""/home/local"" & HomeDirTemplate               REG_SZ          ""%H/local/%D/%U"" & HomeDirUMask                  REG_SZ          ""022"""
12,Verify registry key value for new policy,all,cd  \Policy\Services\lsass\Parameters\Providers\ActiveDirectory,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\ActiveDirectory,ls,"LoginShellTemplate            REG_SZ          ""/bin/sh"" & MachinePasswordLifespan       REG_DWORD       0x00000001 (1) & NssEnumberationEnabled        REG_DWORD       0x00000000 (0)"
13,Verify registry key value for new policy,all,cd  \Policy\Services\lsass\Parameters\Providers\ActiveDirectory,HKEY_THIS_MACHINE\Policy\Services\lsass\Parameters\Providers\ActiveDirectory,ls,"NssGroupMembersQueryCacheOnly REG_DWORD       0x00000001 (1) & NssUserMembersQueryCacheOnly  REG_DWORD       0x00000000 (0) & RefreshUserCredentials        REG_DWORD       0x00000001 (1)"
