#ID,Description,Platforms,Command1,Expected1,Command2,Expected2,Command3,Expected3,Command4,Expected4
#1A,Verify product download and installation,all,install(smbclient \\\\10.10.60.5\\share -U administrator centeris||Release_builds\Lwidentity-5.4\8025\LWISE\||/root/),Install complete,,,,,,,,,,
1,Start regshell,all,regshellstart(/opt/likewise/bin/lwregshell),not(No such file or directory),,,,,,
2,List all the keys and possible values,all,ls,[HKEY_THIS_MACHINE],,,,,,
3,Go up one level in Registry,all,cd HKEY_THIS_MACHINE\,HKEY_THIS_MACHINE\>,,,,,,
4,Add new key 1,all,add_key key_name_1,,,,,,,
5,Add new key 2,all,add_key key_name_2,,,,,,,
6,List all the keys and possible values,all,ls,[HKEY_THIS_MACHINE\] & [HKEY_THIS_MACHINE\Services] & [HKEY_THIS_MACHINE\key_name_1] & [HKEY_THIS_MACHINE\key_name_2],,,,,,
7,Add a String value,all,"add_value value_str_1 reg_sz ""I'm a string""",,,,,,,
8,Add a Dowrd value,all,add_value value_dword_2 reg_dword 438920,,,,,,,
9,Add a Binary value,all,add_value value_bin_3 reg_binary 00011000,,,,,,,
10,List all the keys and possible values,all,ls," ""value_bin_3""   REG_BINARY      00,01,10,00 &  ""value_dword_2"" REG_DWORD       0x0006b288 (438920) &   ""value_str_1""   REG_SZ          ""I'm a string""",,,,,,
11,Add a String value to existing string value name,all,"add_value value_bin_3 reg_sz ""string""",regshell (error = 40702 - LWREG_ERROR_DUPLICATE_KEYVALUENAME) & Duplicate key/value name is not allowed in registry,,,,,,
12,List all the keys and possible values,all,ls,"[HKEY_THIS_MACHINE\] &   ""value_bin_3""   REG_BINARY      00,01,10,00 &   ""value_dword_2"" REG_DWORD       0x0006b288 (438920) &   ""value_str_1""   REG_SZ          ""I'm a string"" & [HKEY_THIS_MACHINE\key_name_1] & [HKEY_THIS_MACHINE\key_name_2] & [HKEY_THIS_MACHINE\Services]",,,,,,
13,Delete a Binary value,all,delete_value value_bin_3,,,,,,,
